mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.99846453666687,0.2210234431153873,0.15269880294799804,0.02707661193548567,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-179.6537863005431,-213.33102578499413,-311.41808588294225,-281.4840326010139,-365.9094284370758,-270.35927180131387,66.9613693010938,99
2.886762523651123,0.19775963041089378,0.2701681613922119,0.07450796953654883,20,2,5,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-179.41142401664533,-211.5571410954812,-307.22370509362304,-277.6686982436773,-361.96746979147247,-267.56568764817985,65.56623693028203,29
1.1088517665863038,0.10194634264034864,0.14421434402465821,0.06799652864362704,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-183.16157073648446,-213.33094243839543,-310.25028494201933,-276.0131255297364,-360.43528312153643,-268.6382413536344,64.15264062942826,67
2.139577054977417,0.11665117959874174,0.1789790630340576,0.03483888412164224,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-181.83832162081018,-216.24836284532648,-312.70874256693753,-276.8139696021373,-365.8517321669888,-270.69222576044007,65.90500069300698,107
2.843774652481079,0.13758886172074178,0.14937300682067872,0.023672042724634725,20,2,10,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-181.5730096708859,-213.08562032900025,-307.9914417067104,-274.75065489609835,-359.88255129355906,-267.4566555792508,64.14207296263918,22
0.9671744346618653,0.08873557868085942,0.17360739707946776,0.04195205534421348,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-167.65653074455275,-209.49533082347656,-312.31271405028747,-282.5989621970038,-363.03929131010847,-267.0205658250858,70.27947765545521,10
2.0143441677093508,0.12785066819336907,0.12932820320129396,0.04940361874388816,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-172.3766325412554,-212.9093854078788,-311.2623867527978,-283.760565034386,-365.4430655845535,-269.1504070641743,68.97444104374979,81
2.7847047805786134,0.18283505591144839,0.1782222270965576,0.0600052229832455,20,4,2,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-171.4750596328213,-212.75160427101838,-310.3222662148054,-283.22049600467693,-362.1239756997638,-267.97868036461716,68.19326592647438,46
1.0613696098327636,0.15281037974673478,0.12697300910949708,0.03826405411909585,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-167.65653074455273,-209.4953308234766,-312.31271405028747,-282.59896219700386,-363.0392913101085,-267.02056582508584,70.27947765545522,13
1.9557411193847656,0.14970649533576183,0.11760787963867188,0.029539865318164223,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-172.37663254125536,-212.9093854078788,-311.2623867527978,-283.760565034386,-365.4430655845535,-269.1504070641743,68.9744410437498,81
2.9561566352844237,0.22706339478028364,0.17173585891723633,0.046311827301019355,20,4,5,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-171.47505963282134,-212.75160427101838,-310.3222662148054,-283.22049600467693,-362.1239756997638,-267.97868036461716,68.19326592647437,46
